"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"maj";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,58;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,08;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,93;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"jaja kurze świeże - za 1szt";"cena";"2018";0,61;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"pomarańcze - za 1kg";"cena";"2018";5,85;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2018";3,34;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"czekolada mleczna - za 100g";"cena";"2018";3,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,84;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,58;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";27,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,89;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"jaja kurze świeże - za 1szt";"cena";"2018";0,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"pomarańcze - za 1kg";"cena";"2018";5,98;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2018";3,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"czekolada mleczna - za 100g";"cena";"2018";3,78;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,88;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";28,64;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";18,75;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,95;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"jaja kurze świeże - za 1szt";"cena";"2018";0,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"pomarańcze - za 1kg";"cena";"2018";6,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2018";3,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"czekolada mleczna - za 100g";"cena";"2018";3,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,83;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";29,68;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"zimna woda z miejskiej sieci wodociągowej - za 1m3";"cena";"2018";3,46;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"szynka wieprzowa gotowana - za 1kg";"cena";"2018";29,15;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"kiełbasa wędzona (2) - za 1kg";"cena";"2018";19,11;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"śmietana o zawartości tłuszczu 18% - za 200 g";"cena";"2018";1,92;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"jaja kurze świeże - za 1szt";"cena";"2018";0,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"pomarańcze - za 1kg";"cena";"2018";6,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2018";2,92;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"czekolada mleczna - za 100g";"cena";"2018";3,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,89;"zł";"";
